date,PortfolioValue
2014-06-03,3716591.4907535473
2014-06-04,3722268.797360327
2014-06-05,3729753.396146029
2014-06-06,3829856.2796843625
2014-06-09,3888552.7803109805
2014-06-10,3977933.3264017403
2014-06-11,4252901.928515766
2014-06-12,4291132.126881874
2014-06-13,4193348.0388081917
2014-06-16,4225442.586205672
2014-06-17,4337937.66189142
2014-06-18,4429462.905627928
2014-06-19,4299322.806023142
2014-06-20,4299322.806023142
2014-06-23,4299322.806023142
2014-06-24,4299322.806023142
2014-06-25,4299322.806023142
2014-06-26,4299322.806023142
2014-06-27,4299322.806023142
2014-06-30,4299322.806023142
2014-07-01,4299322.806023142
2014-07-02,4385840.681122439
2014-07-03,4314443.390500251
2014-07-04,4327886.633041413
2014-07-07,4343963.474013498
2014-07-08,4277927.661856149
2014-07-09,4343839.9431652045
2014-07-10,4331787.879556076
2014-07-11,4356890.448058933
2014-07-14,4291309.819278108
2014-07-15,4291309.819278108
2014-07-16,4291309.819278108
2014-07-17,4291309.819278108
2014-07-18,4291309.819278108
2014-07-21,4291309.819278108
2014-07-22,4291309.819278108
2014-07-23,4291309.819278108
2014-07-24,4291309.819278108
2014-07-25,4291309.819278108
2014-07-28,4291309.819278108
2014-07-30,4291309.819278108
2014-07-31,4291309.819278108
2014-08-01,4291309.819278108
2014-08-04,4291309.819278108
2014-08-05,4291309.819278108
2014-08-06,4291309.819278108
2014-08-07,4291309.819278108
2014-08-08,4291309.819278108
2014-08-11,4383113.919968828
2014-08-12,4410122.583854158
2014-08-13,4321739.952094136
2014-08-14,4422393.808431642
2014-08-18,4600660.869163022
2014-08-19,4657762.776131248
2014-08-20,4661257.140106777
2014-08-21,4678897.915784818
2014-08-22,4689804.792672725
2014-08-25,4718564.114582801
2014-08-26,4763601.907582943
2014-08-27,4666452.358752928
2014-08-28,4646127.632988737
2014-09-01,4667474.26067817
2014-09-02,4749193.929537934
2014-09-03,4735205.635032014
2014-09-04,4707820.821030672
2014-09-05,4763610.18344886
2014-09-08,4761940.1585779665
2014-09-09,4817728.1205703225
2014-09-10,4857553.795154085
2014-09-11,4931431.556498137
2014-09-12,5006975.528692027
2014-09-15,4908555.559998384
2014-09-16,4908555.559998384
2014-09-17,4908555.559998384
2014-09-18,5121079.553544662
2014-09-19,5326610.447925153
2014-09-22,5306521.957315652
2014-09-23,5210350.6381741725
2014-09-24,5210350.6381741725
2014-09-25,5210350.6381741725
2014-09-26,5210350.6381741725
2014-09-29,5210350.6381741725
2014-09-30,5210350.6381741725
2014-10-01,5210350.6381741725
2014-10-07,5210350.6381741725
2014-10-08,5210350.6381741725
2014-10-09,5210350.6381741725
2014-10-10,5210350.6381741725
2014-10-13,5210350.6381741725
2014-10-14,5210350.6381741725
2014-10-15,5210350.6381741725
2014-10-16,5210350.6381741725
2014-10-17,5210350.6381741725
2014-10-20,5210350.6381741725
2014-10-21,5210350.6381741725
2014-10-22,5210350.6381741725
2014-10-27,5210350.6381741725
2014-10-28,5210350.6381741725
2014-10-29,5210350.6381741725
2014-10-30,5210350.6381741725
2014-10-31,5210350.6381741725
2014-11-03,5210350.6381741725
2014-11-05,5210350.6381741725
2014-11-07,5210350.6381741725
2014-11-10,5210350.6381741725
2014-11-11,5210350.6381741725
2014-11-12,5210350.6381741725
2014-11-13,5210350.6381741725
2014-11-14,5210350.6381741725
2014-11-17,5210350.6381741725
2014-11-18,5210350.6381741725
2014-11-19,5210350.6381741725
2014-11-20,5437286.644304087
2014-11-21,5438927.72521153
2014-11-24,5405763.447756939
2014-11-25,5290910.740889533
2014-11-26,5286835.0644075945
2014-11-27,5286835.0644075945
2014-11-28,5286835.0644075945
2014-12-01,5347584.767752674
2014-12-02,5471315.86904525
2014-12-03,5569510.213180197
2014-12-04,5581539.599782904
2014-12-05,5565989.929969139
2014-12-08,5583366.208260942
2014-12-09,5556752.9082273645
2014-12-10,5547756.8203956
2014-12-11,5562588.951548605
2014-12-12,5558247.214857711
2014-12-15,5583436.0747877965
2014-12-16,5490569.286661355
2014-12-17,5490569.286661355
2014-12-18,5490569.286661355
2014-12-19,5490569.286661355
2014-12-22,5490569.286661355
2014-12-23,5490569.286661355
2014-12-24,5490569.286661355
2014-12-26,5490569.286661355
2014-12-29,5490569.286661355
2014-12-30,5490569.286661355
2014-12-31,5661335.3609829135
2015-01-01,5636236.0146361645
2015-01-02,5765427.298603823
2015-01-05,5712530.843479481
2015-01-06,5681590.70223274
2015-01-07,5659595.419193091
2015-01-08,5840110.710701536
2015-01-09,5887168.762482017
2015-01-12,5954305.204850799
2015-01-13,6040264.286588228
2015-01-14,6056230.090623033
2015-01-15,6005457.122108001
2015-01-16,5986167.939441843
2015-01-19,6003027.0040702075
2015-01-20,6019740.3695572335
2015-01-21,5987773.582962807
2015-01-22,5979456.403555311
2015-01-23,5926490.980916944
2015-01-27,5926490.980916944
2015-01-28,5926490.980916944
2015-01-29,5926490.980916944
2015-01-30,5926490.980916944
2015-02-02,5926490.980916944
2015-02-03,5926490.980916944
2015-02-04,5926490.980916944
2015-02-05,5926490.980916944
2015-02-06,5926490.980916944
2015-02-09,5926490.980916944
2015-02-10,5926490.980916944
2015-02-11,5926490.980916944
2015-02-12,5926490.980916944
2015-02-13,5926490.980916944
2015-02-16,5926490.980916944
2015-02-18,5926490.980916944
2015-02-19,5926490.980916944
2015-02-20,5926490.980916944
2015-02-23,6011174.564816991
2015-02-24,6069258.28808958
2015-02-25,6186336.448857297
2015-02-26,6229643.85592818
2015-02-27,6158060.497460489
2015-03-02,6369718.657980896
2015-03-03,6434530.44040193
2015-03-04,6426295.129237288
2015-03-05,6510325.465517204
2015-03-09,6394661.302355574
2015-03-10,6394661.302355574
2015-03-11,6394661.302355574
2015-03-12,6394661.302355574
2015-03-13,6394661.302355574
2015-03-16,6394661.302355574
2015-03-17,6394661.302355574
2015-03-18,6394661.302355574
